Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,98.290001,100.529999,97.820000,99.320000,91.469337,10430400
2021-11-23,100.309998,102.129997,100.180000,101.860001,93.808578,8559200
2021-11-24,101.839996,102.230003,100.110001,101.120003,93.127068,7146400
2021-11-26,98.050003,98.160004,95.870003,97.930000,90.189209,11738200
2021-11-29,99.040001,99.599998,95.959999,97.230003,89.544556,13793400
2021-11-30,96.430000,96.500000,93.879997,94.820000,87.325050,20586200
2021-12-01,96.980003,98.610001,95.260002,95.260002,87.730270,11708200
2021-12-02,96.000000,99.750000,95.300003,98.860001,91.045708,10685800
2021-12-03,100.040001,100.870003,96.849998,98.209999,90.447090,9811800
2021-12-06,100.000000,100.709999,98.800003,99.269997,91.423294,9624500
2021-12-07,100.370003,103.110001,100.339996,102.500000,94.397995,10674400
2021-12-08,102.660004,103.160004,101.230003,101.250000,93.246796,9089700
2021-12-09,100.769997,101.820000,100.250000,100.580002,92.629753,7749600
2021-12-10,100.940002,101.260002,98.379997,98.430000,90.649689,10429000
2021-12-13,98.150002,98.199997,96.800003,97.169998,89.489288,10057100
2021-12-14,96.750000,99.440002,96.570000,98.820000,91.008865,11105900
2021-12-15,99.120003,99.830002,97.129997,99.430000,91.570656,7055000
2021-12-16,101.290001,101.419998,99.660004,100.300003,92.371880,7889900
2021-12-17,99.470001,99.519997,96.809998,97.129997,89.452461,20851400
